joint_value_FR_Thigh,accel_x,accel_y,accel_z,foot_force,"Label (stand : 1, Sit : 0)"
-0.681420009,0.362722,0.0706289,9.5385,29,1
-0.673560912,0.344765,0.0814029,9.60793,29,1
-0.655262576,0.344765,0.0814029,9.60793,29,1
-0.699149268,0.344765,0.0814029,9.60793,29,1
-0.659291479,0.344765,0.0814029,9.60793,29,1
-0.667169166,0.391452,0.0335188,9.55885,29,1
-0.691381618,0.401029,-0.0035913,9.57082,29,1
-0.674295599,0.401029,-0.0035913,9.57082,28,1
-0.656042687,0.401029,-0.0035913,9.57082,28,1
-0.6516843,0.361524,-0.0059855,9.51456,28,1
-0.653602062,0.361524,-0.0059855,9.51456,28,1
-0.673988708,0.336385,-0.0502782,9.53251,28,1
-0.678179406,0.336385,-0.0502782,9.53251,28,1
-0.680828938,0.336385,-0.0502782,9.53251,28,1
-0.676449355,0.25618,-0.0622492,9.57322,29,1
-0.683486088,0.25618,-0.0622492,9.57322,29,1
-0.681615104,0.290895,-0.0155623,9.55526,29,1
-0.693674906,0.290895,-0.0155623,9.55526,29,1
-0.659708113,0.290895,-0.0155623,9.55526,29,1
-0.681063365,0.290895,-0.0155623,9.55526,29,1
-0.693346074,0.199916,-0.0323217,9.57681,29,1
-0.664126205,0.199916,-0.0323217,9.57681,29,1
-0.695034944,0.215478,-0.0466869,9.55646,29,1
-0.668929144,0.215478,-0.0466869,9.55646,29,1
-0.686883228,0.185551,-0.00718261,9.55765,29,1
-0.67854029,0.185551,-0.00718261,9.55765,29,1
-0.656351779,0.204704,0.0263362,9.60195,29,1
-0.6775903,0.204704,0.0263362,9.60195,29,1
-0.668171697,0.204704,0.0263362,9.60195,29,1
-0.653969682,0.204704,0.0263362,9.60195,29,1
-0.67045485,0.232238,0.0347159,9.56005,29,1
-0.68913272,0.216675,0.0885855,9.56484,29,1
-0.67054753,0.216675,0.0885855,9.56484,29,1
-0.685961939,0.216675,0.0885855,9.56484,29,1
-0.688516395,0.274136,0.0826,9.61871,29,1
-0.69068945,0.274136,0.0826,9.61871,29,1
-0.670009223,0.272939,0.0550666,9.67138,29,1
-0.69864143,0.272939,0.0550666,9.67138,29,1
-0.686826737,0.272939,0.0550666,9.67138,29,1
-0.673579876,0.300472,0.0658405,9.60793,29,1
